Challenge,Predicate,NumSubmissions,NumCorrect,NumIncorrect,NumEdges
PSqwzYAfW9dFAa9im,inv14,220,54,166,295
PSqwzYAfW9dFAa9im,inv15,183,57,126,211
YH3ANm7Y5Qe5dSYem,inv1,15,5,10,26
YH3ANm7Y5Qe5dSYem,inv2,12,8,4,15
YH3ANm7Y5Qe5dSYem,inv3,48,22,26,79
YH3ANm7Y5Qe5dSYem,inv4,58,15,43,106
YH3ANm7Y5Qe5dSYem,inv5,86,10,76,142
YH3ANm7Y5Qe5dSYem,inv6,28,9,19,52
YH3ANm7Y5Qe5dSYem,inv7,32,12,20,49
YH3ANm7Y5Qe5dSYem,inv8,59,10,49,87
YH3ANm7Y5Qe5dSYem,inv9,63,11,52,96
YH3ANm7Y5Qe5dSYem,inv10,30,4,26,48
YH3ANm7Y5Qe5dSYem,inv11,262,12,250,404
YH3ANm7Y5Qe5dSYem,inv12,188,11,177,295
YH3ANm7Y5Qe5dSYem,inv13,82,5,77,117
YH3ANm7Y5Qe5dSYem,inv14,286,16,270,389
YH3ANm7Y5Qe5dSYem,inv15,124,8,116,168
JDKw8yJZF5fiP3jv3,inv1,151,36,115,244
JDKw8yJZF5fiP3jv3,inv2,56,31,25,82
JDKw8yJZF5fiP3jv3,inv3,103,24,79,155
JDKw8yJZF5fiP3jv3,inv4,76,18,58,124
JDKw8yJZF5fiP3jv3,inv5,346,87,259,447
JDKw8yJZF5fiP3jv3,inv6,194,57,137,265
JDKw8yJZF5fiP3jv3,inv7,210,57,153,280
JDKw8yJZF5fiP3jv3,inv8,110,36,74,171
JDKw8yJZF5fiP3jv3,inv9,347,39,308,465
JDKw8yJZF5fiP3jv3,inv10,122,31,91,179
JDKw8yJZF5fiP3jv3,inv11,90,45,45,110
JDKw8yJZF5fiP3jv3,inv12,110,32,78,170
JDKw8yJZF5fiP3jv3,inv13,77,15,62,97
JDKw8yJZF5fiP3jv3,inv14,99,24,75,131
JDKw8yJZF5fiP3jv3,inv15,22,8,14,23
sDLK7uBCbgZon3znd,inv1,30,12,18,50
sDLK7uBCbgZon3znd,inv2,18,6,12,28
sDLK7uBCbgZon3znd,inv3,12,5,7,19
sDLK7uBCbgZon3znd,inv4,32,13,19,55
sDLK7uBCbgZon3znd,inv5,35,12,23,58
sDLK7uBCbgZon3znd,inv6,69,8,61,121
sDLK7uBCbgZon3znd,inv7,92,15,77,180
sDLK7uBCbgZon3znd,inv8,24,17,7,36
sDLK7uBCbgZon3znd,inv9,52,27,25,71
sDLK7uBCbgZon3znd,inv10,62,12,50,100
JC8Tij8o8GZb99gEJ,Inv1,51,8,43,87
JC8Tij8o8GZb99gEJ,Inv2,85,18,67,98
JC8Tij8o8GZb99gEJ,Inv3,120,7,113,152
JC8Tij8o8GZb99gEJ,Inv4,201,1,200,261
dkZH6HJNQNLLDX6Aj,inv1,364,56,308,696
dkZH6HJNQNLLDX6Aj,inv2,174,50,124,376
dkZH6HJNQNLLDX6Aj,inv3,1189,201,988,1651
dkZH6HJNQNLLDX6Aj,inv4,505,111,394,814
dkZH6HJNQNLLDX6Aj,inv5,492,57,435,1075
dkZH6HJNQNLLDX6Aj,inv6,321,62,259,474
dkZH6HJNQNLLDX6Aj,inv7,1304,63,1241,2011
dkZH6HJNQNLLDX6Aj,inv8,439,126,313,589
zoEADeCW2b2suJB2k,inv1,49,11,38,86
zoEADeCW2b2suJB2k,inv2,35,7,28,51
zoEADeCW2b2suJB2k,inv3,132,9,123,229
zoEADeCW2b2suJB2k,inv4,309,24,285,430
zoEADeCW2b2suJB2k,inv5,149,15,134,201
zoEADeCW2b2suJB2k,inv6,41,18,23,63
zoEADeCW2b2suJB2k,inv7,173,9,164,222
aTwuoJgesSd8hXXEP,inv1,50,21,29,83
aTwuoJgesSd8hXXEP,inv2,175,39,136,244
aTwuoJgesSd8hXXEP,inv3,28,7,21,43
aTwuoJgesSd8hXXEP,inv4,101,30,71,145
aTwuoJgesSd8hXXEP,inv5,108,44,64,131
aTwuoJgesSd8hXXEP,inv6,74,13,61,127
aTwuoJgesSd8hXXEP,inv7,98,23,75,162
aTwuoJgesSd8hXXEP,inv8,81,36,45,105
aTwuoJgesSd8hXXEP,inv9,339,11,328,382
aTwuoJgesSd8hXXEP,inv10,64,8,56,74
9jPK8KBWzjFmBx4Hb,prop1,33,16,17,50
9jPK8KBWzjFmBx4Hb,prop2,60,4,56,134
9jPK8KBWzjFmBx4Hb,prop3,7,2,5,10
9jPK8KBWzjFmBx4Hb,prop4,56,4,52,109
9jPK8KBWzjFmBx4Hb,prop5,180,8,172,305
9jPK8KBWzjFmBx4Hb,prop6,143,13,130,262
9jPK8KBWzjFmBx4Hb,prop7,28,5,23,51
9jPK8KBWzjFmBx4Hb,prop8,134,4,130,240
9jPK8KBWzjFmBx4Hb,prop9,51,6,45,88
9jPK8KBWzjFmBx4Hb,prop10,105,2,103,221
9jPK8KBWzjFmBx4Hb,prop11,93,8,85,143
9jPK8KBWzjFmBx4Hb,prop12,238,6,232,349
9jPK8KBWzjFmBx4Hb,prop13,48,14,34,67
9jPK8KBWzjFmBx4Hb,prop14,84,14,70,116
9jPK8KBWzjFmBx4Hb,prop15,25,2,23,45
9jPK8KBWzjFmBx4Hb,prop16,65,5,60,98
9jPK8KBWzjFmBx4Hb,prop17,97,10,87,120
9jPK8KBWzjFmBx4Hb,prop18,125,4,121,193
9jPK8KBWzjFmBx4Hb,prop19,44,2,42,65
9jPK8KBWzjFmBx4Hb,prop20,42,4,38,75
WGdhwKZnCu7aKhXq9,Inv1,14,6,8,18
WGdhwKZnCu7aKhXq9,Inv2,32,9,23,34
WGdhwKZnCu7aKhXq9,Inv3,45,6,39,51
WGdhwKZnCu7aKhXq9,Inv4,94,8,86,125
gAeD3MTGCCv8YNTaK,undirected,150,29,121,242
gAeD3MTGCCv8YNTaK,oriented,94,24,70,150
gAeD3MTGCCv8YNTaK,acyclic,78,15,63,126
gAeD3MTGCCv8YNTaK,complete,104,18,86,191
gAeD3MTGCCv8YNTaK,noLoops,59,15,44,106
gAeD3MTGCCv8YNTaK,weaklyConnected,251,16,235,411
gAeD3MTGCCv8YNTaK,stonglyConnected,77,16,61,128
gAeD3MTGCCv8YNTaK,transitive,58,16,42,82
